,Name,Institution(s),Country/Territory,Researcher ID,Keywords,Other Names
University of Southampton ; King Abdulaziz University  ,United Kingdom ,F-7358-2011,"artificial intelligence, multi agent systems, complex systems, smart grid, multi-agent systems, intelligent agent, agent based intelligent systems  ","Jennings, Nicholas R, Jennings, Nick R, Jennings, N. R.  "
930,Calder Philip   ,,,
University of Southampton ; King Abdulaziz University  ,United Kingdom ,E-9739-2013,,"Calder, P.C., Calder, P., Calder, Philip C.  "
931,Mobasheri Ali   ,,,
University of Surrey ; King Abdulaziz University  ,United Kingdom ,D-5770-2011,,
932,Olson Eric   ,,,
"University of Texas ; King Abdulaziz University, Jeddah, Saudi Arabia  ",United States ,B-4391-2013,,
933,Jansen Robert   ,,,
"University of Texas at Austin, UT Austin ; King Abdulaziz University, Faculty of Science  ",United States ,F-6272-2011,isi highly cited  ,
934,Bhat Chandra    ,,,
"University of Texas at Austin, UT Austin ; King Abdulaziz University (KAU), Jeddah, Saudi Arabia  ",United States ,B-3952-2013,"econometric models, travel behavior, energy, public health  ","Bhat, C.R., Bhat, C., Bhat, Chandra R., Bhat, Chandrasekhar R.  "
935,Chen Banglin   ,,,
"University of Texas at San Antonio ; King Abdulaziz University, Jeddah, Saudi Arabia  ",United States ,F-5461-2010,"metal-organic frameworks, gas storage and separation, sensing materials and sensors, luminescent materials  ",Bang-Lin Chen  
936,Stephan Douglas   ,,,
University of Toronto (St. George campus) ; King Abdulaziz University (KAU).  ,Canada ,E-4393-2011,,
937,Djilali Ned   ,,,
"University of Victoria ; King Abdulaziz University, KAU  ",Canada ,B-1232-2010,"energy systems; fuel cells; transport phenomena, cfd; fluid mechanics; turbulence; porous media, crystal growth; membrane separation processes, wind energy integration; smart grids  ",Nedjib  
938,Praeger Cheryl   ,,,
University of Western Australia ; King Abdulaziz University (KAU)  ,Australia ,H-1259-2011,"permutation groups, automorphism groups of graphs, computational group theory, algorithms for group computation, combinatorial designs and finite geometries  ","Praeger, C. E.  "
939,Webster John   ,,,
